867329245,02/07/2002,"DELL","DELL","Precision 340","4LN3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
623735611,28/01/2004,"DELL","DELL","Precision 360","4LW0741","P4 3.0 GHz","1.0 Gb","80 Gb","Centro de Cómputo","Laboratorio 2",,,
502104060,"01/24/2001","DELL","DELL","Optiplex Gx 150","4M3YB01","PIII 933GHz","128Mb","20Gb","Centro de Ingreso de Notas",,,,
867329245,02/07/2002,"DELL","DELL","Precision 340","4MN3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
502104060,"01/24/2002","Dell","DELL","Optiplex Gx 150","4N3YB01","PIII 933GHz","128Mb","20Gb","Biblioteca",,,,
877678557,14/07/2002,"DELL","DELL","OptiPlex GX 260T","4NQ2N11","P4 1.8GHz","256 Mb","40 Gb","Facultad de Odontologia",,,,
,,,,"Inspiron 2650","4RF1F21",,,,"Facultad de Odontologia",,,,
867316333,28/06/2002,"DELL","DELL","Precision 340","4XSXL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 3",,,
571473750,05/08/2001,"Dell","DELL","Optiplex Gx 150","4Y67L01","PIII 1.0GHz","128Mb","20Gb","CR. Antigua",,,,
867316333,28/06/2002,"DELL","DELL","Precision 340","4YSXL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
571473750,05/08/2001,"DELL","DELL","Optiplex Gx 150","4Z67L01","PIII 1.0GHz","128Mb","20Gb","Casa de Campo",,,,
502103286,"01/19/2001","DELL","DELL","Poweredge 1400","50BKB01","PIII 800MHz","256 Mb","18 Gb","Centro de Cómputo","Bodega",,,
867320046,01/07/2002,"DELL","DELL","Precision 340","50K3M11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 4",,,
571473750,05/08/2001,"Dell","DELL","Optiplex Gx 150","5177L01","PIII 1.0GHz","256Mb","20Gb","Medicina",,,,
497512492,13/10/2003,"DELL","DELL","Precision 360","559YM31","P4 2.4GHz","1G Mb","40 Gb","Medicina",,,,
867311284,01/07/2002,"DELL","DELL","Precision 340","55FZL11","P4 2.0 GHz","512Mb","40Gb","Centro de Cómputo","Laboratorio 1",,,
